Department,Expression,Code
Department of Clinical Microbiology,clnclmcrblgy,4.05
Department of Clinical Sciences,clnclscncs,4.06
"Department of Food, Nutrition and Culinary Science",fdntrtnclnryscnc,4.07
Department of Medical Biosciences,mdclbscncs,4.08
Department of Medical Biochemistry and Biophysics,mdclbchmstrybphyscs,4.09
Department of Molecular Biology,mlclrblgy,4.1
Department of Odontology,dntlgy,4.11
Department of Nursing,nrsng,4.12
Department of Community Medicine and Rehabilitation,cmmntymdcnrhblttn,4.13
University of Örebro,nvrstyrbr,5
Health Sciences,hlthscncs,5.1
School of Medical Sciences,schlmdclscncs,5.2
University of Uppsala,nvrstyppsl,6
Biology Education Center,blgydctncntr,6.01
Department of Pharmaceutical Biosciences,phrmctclbscncs,6.02
Department of Pharmacy,phrmcy,6.03
Department of Public Health and Caring Sciences,pblchlthcrngscncs,6.04
"Department of Immunology, Genetics and Pathology",mmnlgygntcspthlgy,6.05
Department of Chemistry - Ångström Laboratory,chmstryngstrmlbrtry,6.06
Department of Chemistry – BMC,chmstrybmc,6.07
Department of Surgical Sciences,srgclscncs,6.08
"Department of Food Studies, Nutrition and Dietetics",fdstdsntrtndttcs,6.09
Department of Women’s and Children’s Health,wmn’schldrn’shlth,6.1
Department of Medicinal Chemistry,mdcnlchmstry,6.11
Department of Medical Sciences,mdclscncs,6.12
Department of Medical Biochemistry and Microbiology,mdclbchmstrymcrblgy,6.13
Department of Medical Cell Biology,mdclcllblgy,6.14
University of Lund,nvrstylnd,7
Department of Biomedical Engineering,bmdclngnrng,7.01
"Biomedical Centre, BMC",bmdclcntrbmc,7.02
Department of Experimental Medical Sciences,xprmntlmdclscncs,7.03
Department of Health Sciences,hlthscncs,7.04
Department of Immunotechnology,mmntchnlgy,7.05
"Department of Clinical Sciences, Lund",clnclscncslnd,7.06
"Department of Clinical Sciences, Malmö",clnclscncsmlm,7.07
Department of Laboratory Medicine,lbrtrymdcn,7.08
Department of Translational Medicine,trnsltnlmdcn,7.09
Stem Cell Center,stmcllcntr,7.1
